hhid,b_07,b_08,b_09,e_01,e_03,e_05,e_05_oth,e_06,e_07,f_01_wage,f_01_salaried,f_01_own_crops,f_01_own_livestock,f_01_own_fishing,f_01_non_farm_enterprise,f_01_no_employment,f_05_not_interested,f_05_slack_season,f_05_could_not_find,f_05_ill_old,f_05_children_family,f_05_movement_restrictions,f_05_conflict_violence,f_05_not_safe_health_reasons,j_01,j_07_violence,j_07_theft,j_07_intra_household_conflict,j_07_none,j_07_97,j_08,k_01_sell_assets,k_02_01,k_02_02,k_02_03,k_02_04,k_02_05,k_02_06,k_02_07,k_02_08,k_02_09,k_02_10,k_02_11,k_02_12,k_02_99,k_03_mortgage_assets,k_04_01,k_04_02,k_04_03,k_04_04,k_04_05,k_04_06,k_04_07,k_04_08,k_04_09,k_04_99,k_05_consumed_seed_stock,k_06_reduced_agriculture,k_07_spend_savings,k_08_reduced_healthcare,k_09_reduced_nfi,k_10_reduced_food,k_11_borrow_food,k_12_borrow_money,k_13_migrate,k_14_children_work,k_15_risky_activity,k_16,k_17,l2_02_a,l2_02_b,l2_vegetables1,l2_03_a,l2_03_b,l2_vegetables2,l2_04_a,l2_04_b,l2_vegetables3,l2_05_a,l2_05_b,l2_staples1,l2_06_a,l2_06_b,l2_staples2,l2_07_a,l2_07_b,l2_pulses1,l2_08_a,l2_08_b,l2_pulses2,l2_09_a,l2_09_b,fcs_dairy,l2_10_a,l2_10_b,l2_protein_seafood,l2_11_a,l2_11_b,l2_protein_meat,l2_12_a,l2_12_b,l2_protein_eggs,l2_13_a,l2_13_b,l2_fruits1,l2_14_a,l2_14_b,l2_fruits2,fcs_sugar,fcs_fat,state,township_code,fcs_vegetables,fcs_staples,fcs_protein,fcs_pulses,fcs_fruits,hhfcs,hhfcs_inv,education_level,physical_security,rural_urban,rural,natural_hazards,csi_unweighted,csi_weighted,not_improved_floor,not_improved_water,not_improved_sanitation,no_electricity,not_improved_housing,insecure,count
17955,1,11,2,4,1,3,0,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,7,0,2,7,0,1,7,0,1,7,0,2,0,0,1,3,0,2,0,0,2,1,0,2,7,0,1,7,0,2,3,0,2,0,0,1,7,7,7,Mandalay,NA,7,7,7,3,7,76,0.6307692307692307,0.42105263157894735,0,rural,1,0,24,18,0,0,0,0,0,0,1
17956,1,9,1,1,1,3,0,2,6,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,2,0,1,3,0,2,0,0,1,4,0,1,7,0,2,2,0,2,7,0,2,3,0,2,0,0,1,2,0,1,3,0,2,2,0,2,0,0,1,1,7,7,Mandalay,NA,4,7,3,7,1,59,0.4564102564102564,0.5263157894736842,0.3333333333333333,rural,1,0,23,16.5,0,0,0,0,1,0,1
17959,1,9,1,1,1,3,0,2,1,2,1,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,2,0,0,1,5,0,1,7,0,2,2,0,1,5,0,1,4,0,2,2,0,2,3,0,1,2,0,2,4,0,1,3,0,2,3,2,7,Mandalay,NA,5,7,4,5,3,65.5,0.5230769230769231,0.5263157894736842,0,rural,1,0,26,18,0,0,0,0,1,0,1
17960,1,15,1,1,2,4,0,2,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,2,0,2,1,0,1,2,0,1,7,0,2,1,0,2,2,0,1,1,0,2,1,0,1,3,0,1,3,0,1,1,0,2,1,0,1,1,7,7,Mandalay,NA,2,7,3,2,1,46,0.3230769230769231,0.21052631578947367,0,rural,1,0,27,19.5,1,0,0,0,1,0,1
17963,1,8,1,1,2,3,0,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,3,0,1,3,0,1,3,0,1,5,0,1,7,0,2,0,0,1,4,0,2,0,0,2,0,0,1,1,0,2,0,0,1,2,0,1,7,0,1,7,0,7,Mandalay,NA,5,7,2,4,7,49.5,0.358974358974359,0.5789473684210527,0,rural,1,0,28,18.5,1,0,0,0,1,0,1
17964,1,15,2,1,2,7,0,2,6,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,2,0,1,2,0,1,2,0,1,2,0,1,7,0,2,0,0,1,3,0,2,0,0,2,0,0,1,3,0,2,2,0,2,1,0,2,0,0,1,2,2,7,Mandalay,NA,2,7,3,3,2,43.5,0.29743589743589743,0.21052631578947367,0.3333333333333333,rural,1,0,18,14,1,1,0,0,1,0,1
17965,1,5,1,4,1,3,0,2,1,2,1,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,2,0,2,2,0,1,7,0,2,0,0,1,7,0,1,7,0,2,0,0,1,3,0,1,2,0,2,0,0,1,4,0,2,0,7,7,Mandalay,NA,3,7,3,7,4,61,0.47692307692307695,0.7368421052631579,0,rural,1,0,26,19,0,0,0,0,0,0,1
17966,1,10,1,1,1,3,0,1,1,2,2,1,2,2,1,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,1,3,0,1,7,0,1,7,0,1,7,0,1,4,0,2,1,0,1,7,0,2,3,0,1,4,0,1,2,0,1,2,0,2,0,7,7,Mandalay,NA,7,7,4,4,2,86,0.7333333333333333,0.47368421052631576,0,rural,1,0,26,18,0,0,0,0,1,0,1
17969,1,5,2,4,1,6,0,2,9,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,7,0,1,4,0,1,7,0,1,7,0,2,0,0,2,1,0,1,1,0,2,0,0,1,3,0,2,3,0,2,2,0,2,1,0,2,1,7,7,Mandalay,NA,7,7,3,1,1,44,0.30256410256410254,0.7368421052631579,0,rural,1,0,26,19,0,1,0,1,0,0,1
17970,1,5,1,1,2,3,0,2,1,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,2,0,1,3,0,2,0,0,1,3,0,1,7,0,2,0,0,1,5,0,1,4,0,2,0,0,1,2,0,2,1,0,2,0,0,2,0,0,2,1,7,7,Mandalay,NA,3,7,2,5,1,48,0.3435897435897436,0.7368421052631579,0,rural,1,0,21,15.5,1,0,0,0,1,0,1
