hhid,b_07,b_08,b_09,e_01,e_03,e_05,e_05_oth,e_06,e_07,f_01_wage,f_01_salaried,f_01_own_crops,f_01_own_livestock,f_01_own_fishing,f_01_non_farm_enterprise,f_01_no_employment,f_05_not_interested,f_05_slack_season,f_05_could_not_find,f_05_ill_old,f_05_children_family,f_05_movement_restrictions,f_05_conflict_violence,f_05_not_safe_health_reasons,j_01,j_07_violence,j_07_theft,j_07_intra_household_conflict,j_07_none,j_07_97,j_08,k_01_sell_assets,k_02_01,k_02_02,k_02_03,k_02_04,k_02_05,k_02_06,k_02_07,k_02_08,k_02_09,k_02_10,k_02_11,k_02_12,k_02_99,k_03_mortgage_assets,k_04_01,k_04_02,k_04_03,k_04_04,k_04_05,k_04_06,k_04_07,k_04_08,k_04_09,k_04_99,k_05_consumed_seed_stock,k_06_reduced_agriculture,k_07_spend_savings,k_08_reduced_healthcare,k_09_reduced_nfi,k_10_reduced_food,k_11_borrow_food,k_12_borrow_money,k_13_migrate,k_14_children_work,k_15_risky_activity,k_16,k_17,l2_02_a,l2_02_b,l2_vegetables1,l2_03_a,l2_03_b,l2_vegetables2,l2_04_a,l2_04_b,l2_vegetables3,l2_05_a,l2_05_b,l2_staples1,l2_06_a,l2_06_b,l2_staples2,l2_07_a,l2_07_b,l2_pulses1,l2_08_a,l2_08_b,l2_pulses2,l2_09_a,l2_09_b,fcs_dairy,l2_10_a,l2_10_b,l2_protein_seafood,l2_11_a,l2_11_b,l2_protein_meat,l2_12_a,l2_12_b,l2_protein_eggs,l2_13_a,l2_13_b,l2_fruits1,l2_14_a,l2_14_b,l2_fruits2,fcs_sugar,fcs_fat,state,township_code,fcs_vegetables,fcs_staples,fcs_protein,fcs_pulses,fcs_fruits,hhfcs,hhfcs_inv,education_level,physical_security,rural_urban,rural,natural_hazards,csi_unweighted,csi_weighted,not_improved_floor,not_improved_water,not_improved_sanitation,no_electricity,not_improved_housing,insecure,count
1,2,16,2,5,1,6,0,1,1,2,1,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,1,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,1,7,0,2,1,0,1,3,0,1,7,0,2,2,0,1,3,0,2,2,0,2,2,0,1,4,0,1,7,0,1,3,0,1,4,0,2,1,0,0,Yangon,NA,7,7,7,3,4,70,0.5692307692307692,0.15789473684210525,0.3333333333333333,urban,0,0,21,16.5,0,1,0,0,0,0,1
9,2,15,2,5,1,6,0,1,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,2,0,1,7,0,2,3,0,2,2,0,1,7,0,2,1,0,1,3,0,2,0,0,2,0,0,1,7,0,1,3,0,2,4,0,2,0,0,1,1,0,0,Yangon,NA,7,7,7,3,1,59,0.4564102564102564,0.21052631578947367,0.3333333333333333,urban,0,0,20,14,0,1,0,0,0,0,1
10,2,16,2,1,2,6,0,2,1,2,1,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,2,0,1,2,0,2,2,0,1,3,0,1,7,0,2,1,0,1,2,0,1,2,0,2,0,0,1,3,0,1,4,0,1,2,0,1,5,0,1,3,0,0,Yangon,NA,3,7,4,2,5,44,0.30256410256410254,0.15789473684210525,0.6666666666666666,urban,0,0,20,15.5,1,1,0,0,1,1,1
16,1,6,1,2,2,3,0,2,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,3,0,1,7,0,2,2,0,1,7,0,1,7,0,2,0,0,1,3,0,1,3,0,2,0,0,1,7,0,2,0,0,2,2,0,2,0,0,2,0,0,0,Yangon,NA,7,7,7,3,0,58,0.4461538461538462,0.6842105263157895,0.3333333333333333,rural,1,0,23,16.5,1,0,0,0,1,0,1
22,2,8,2,3,1,6,0,1,1,2,2,2,2,2,1,2,0,0,0,0,0,0,0,0,2,2,1,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,2,0,2,2,0,2,2,0,1,7,0,1,2,0,2,1,0,2,2,0,2,5,0,1,7,0,1,7,0,2,1,0,2,2,0,2,7,0,0,Yangon,NA,2,7,7,2,7,77,0.6410256410256411,0.5789473684210527,0.3333333333333333,urban,0,0,21,15,0,1,0,0,0,0,1
24,2,9,2,4,1,6,0,2,1,1,2,2,2,2,1,2,0,0,0,0,0,0,0,0,2,2,1,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,2,0,0,1,7,0,2,0,0,1,3,0,1,7,0,1,7,0,2,1,0,2,2,0,2,0,0,1,7,0,1,4,0,2,2,0,1,1,0,2,1,0,0,Yangon,NA,7,7,7,2,1,56,0.42564102564102563,0.5263157894736842,0.3333333333333333,urban,0,0,18,13,0,1,0,0,0,0,1
25,1,5,2,1,2,3,0,2,1,2,2,1,2,2,1,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,3,0,1,1,0,2,0,0,2,1,0,1,7,0,2,2,0,1,1,0,2,0,0,2,0,0,2,7,0,2,2,0,2,2,0,2,0,0,2,0,0,0,Yangon,NA,1,7,7,1,0,46,0.3230769230769231,0.7368421052631579,0.3333333333333333,rural,1,0,15,12,1,0,0,0,1,0,1
29,2,4,2,2,2,6,0,2,5,2,2,2,2,2,1,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,2,0,1,7,0,1,1,0,2,4,0,1,7,0,2,7,0,1,3,0,1,1,0,2,0,0,1,3,0,2,2,0,2,5,0,2,0,0,2,7,0,0,Yangon,NA,7,7,5,3,7,57,0.4358974358974359,0.7894736842105263,0.3333333333333333,urban,0,0,19,14,1,1,0,0,1,0,1
35,1,5,2,1,1,3,0,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,3,0,1,4,0,1,1,0,1,4,0,1,7,0,2,0,0,1,3,0,2,0,0,2,2,0,1,3,0,1,2,0,2,1,0,2,0,0,2,0,0,0,Yangon,NA,4,7,3,3,0,47,0.3333333333333333,0.7368421052631579,0.3333333333333333,rural,1,0,21,15.5,0,0,0,0,1,0,1
36,2,11,2,3,2,3,0,2,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,2,0,0,2,1,0,2,1,0,1,7,0,1,2,0,2,0,0,1,1,0,2,0,0,2,0,0,1,2,0,2,1,0,2,1,0,1,1,0,0,Yangon,NA,1,7,2,1,1,27,0.1282051282051282,0.42105263157894735,0.3333333333333333,urban,0,0,23,17.5,1,0,0,0,0,0,1
39,2,9,2,3,1,6,0,2,1,2,2,2,2,2,1,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,2,0,0,2,3,0,1,7,0,2,0,0,2,0,0,2,0,0,2,0,0,1,6,0,2,0,0,1,3,0,2,0,0,1,2,0,0,Yangon,NA,3,7,6,0,2,43,0.2923076923076923,0.5263157894736842,0,urban,0,0,21,17,0,1,0,0,0,0,1
46,2,5,2,1,2,6,0,2,1,2,1,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,2,0,1,7,0,2,0,0,1,7,0,1,7,0,1,7,0,1,2,0,2,3,0,1,7,0,1,7,0,2,1,0,1,3,0,2,0,0,1,1,0,0,Yangon,NA,7,7,7,3,1,87,0.7435897435897436,0.7368421052631579,0,urban,0,0,19,14.5,1,1,0,0,1,0,1
48,2,8,2,3,2,3,0,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,5,0,2,0,0,1,5,0,1,7,0,2,1,0,1,4,0,1,3,0,2,0,0,1,7,0,2,0,0,2,0,0,2,0,0,2,2,0,0,Yangon,NA,5,7,7,4,2,61,0.47692307692307695,0.5789473684210527,0,urban,0,0,25,18.5,1,0,0,0,0,0,1
52,2,16,2,1,1,6,0,2,1,2,1,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2,0,1,3,0,2,0,0,2,0,0,1,7,0,2,2,0,2,0,0,2,0,0,2,0,0,1,7,0,2,4,0,2,2,0,2,0,0,2,3,0,0,Yangon,NA,3,7,7,0,3,48,0.3435897435897436,0.15789473684210525,0,urban,0,0,18,14,0,1,0,0,1,0,1
53,2,15,2,4,1,3,0,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,0,1,5,0,2,3,0,1,5,0,1,7,0,2,3,0,2,0,0,2,1,0,2,0,0,2,5,0,2,2,0,1,6,0,2,0,0,2,2,0,0,Yangon,NA,5,7,6,1,2,48,0.3435897435897436,0.21052631578947367,0.6666666666666666,urban,0,0,20,15.5,0,0,0,0,0,1,1
58,2,15,1,1,1,3,0,2,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,7,0,2,0,0,2,2,0,1,7,0,2,1,0,2,1,0,1,1,0,2,0,0,1,7,0,1,5,0,2,3,0,2,7,0,2,1,0,0,Yangon,NA,7,7,7,1,7,59,0.4564102564102564,0.21052631578947367,0.3333333333333333,urban,0,0,30,21,0,0,0,0,1,0,1
67,2,11,2,1,2,6,0,2,1,2,2,2,2,2,1,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,1,2,0,1,2,0,1,2,0,1,7,0,2,0,0,1,1,0,1,7,0,2,0,0,1,7,0,1,3,0,1,3,0,2,0,0,2,0,0,0,Yangon,NA,2,7,7,7,0,65,0.517948717948718,0.42105263157894735,0,urban,0,0,20,14.5,1,1,0,0,1,0,1
70,1,8,2,4,1,6,0,1,1,2,2,2,2,2,1,2,0,0,0,0,0,0,0,0,2,2,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,4,0,1,7,0,1,2,0,1,7,0,1,2,0,1,2,0,1,4,0,2,2,0,1,3,0,1,4,0,1,3,0,2,3,0,1,2,0,0,Yangon,NA,7,7,4,4,3,60,0.4666666666666667,0.5789473684210527,1,rural,1,0,21,15.5,0,1,0,0,0,1,1
74,2,9,1,1,2,3,0,2,1,2,2,2,2,2,1,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,2,0,1,5,0,1,1,0,1,3,0,1,7,0,2,0,0,1,2,0,2,0,0,2,7,0,1,7,0,1,3,0,2,2,0,2,0,0,2,1,0,0,Yangon,NA,5,7,7,2,1,82,0.6923076923076923,0.5263157894736842,0,urban,0,0,17,12.5,1,0,0,0,1,0,1
81,1,11,2,1,2,3,0,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,2,0,0,1,4,0,1,7,0,1,3,0,2,0,0,2,0,0,2,1,0,1,7,0,2,2,0,1,7,0,2,0,0,1,5,0,0,Yangon,NA,4,7,7,0,5,55,0.4153846153846154,0.42105263157894735,0,rural,1,0,24,18,1,0,0,0,1,0,1
88,1,6,1,1,2,7,0,2,6,1,2,2,2,2,1,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,2,0,2,3,0,2,2,0,1,4,0,1,7,0,2,1,0,1,2,0,2,0,0,2,0,0,1,7,0,2,1,0,2,0,0,2,0,0,2,1,0,0,Yangon,NA,4,7,7,2,1,53,0.39487179487179486,0.6842105263157895,0.3333333333333333,rural,1,0,26,17,1,1,0,0,1,0,1
89,1,3,1,1,1,4,0,2,6,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,1,4,0,2,4,0,1,4,0,1,7,0,2,1,0,1,1,0,1,3,0,1,3,0,1,4,0,2,3,0,2,3,0,2,0,0,2,1,0,0,Yangon,NA,4,7,4,3,1,56,0.42564102564102563,0.8421052631578947,0,rural,1,0,24,16,0,0,0,0,1,0,1
91,1,5,1,1,1,9,0,2,1,2,2,1,1,2,2,2,0,0,0,0,0,0,0,0,2,2,1,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,2,0,1,4,0,2,0,0,2,4,0,1,7,0,2,0,0,2,2,0,2,1,0,2,0,0,1,3,0,2,2,0,2,2,0,2,2,0,2,0,0,0,Yangon,NA,4,7,3,2,2,38,0.24102564102564103,0.7368421052631579,0,rural,1,0,23,16.5,0,1,0,0,1,0,1
100,1,10,1,1,2,4,0,2,6,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,1,7,0,2,0,0,2,0,0,1,7,0,2,0,0,2,0,0,2,0,0,2,0,0,1,7,0,2,0,0,1,3,0,1,2,0,2,1,0,0,Yangon,NA,7,7,7,0,2,51,0.37435897435897436,0.47368421052631576,0.3333333333333333,rural,1,0,28,18.5,1,0,0,0,1,0,1
117,1,16,1,1,1,7,0,2,1,2,2,1,2,2,1,2,0,0,0,0,0,0,0,0,1,2,2,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,3,0,1,3,0,1,2,0,1,7,0,1,3,0,1,2,0,1,2,0,2,0,0,1,3,0,1,3,0,2,0,0,1,1,0,1,2,0,0,Yangon,NA,3,7,3,2,2,37,0.23076923076923078,0.15789473684210525,0.3333333333333333,rural,1,1,22,16,0,1,0,0,1,0,1
120,1,11,1,1,1,5,0,2,6,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,2,0,1,7,0,2,0,0,1,5,0,1,7,0,2,0,0,2,0,0,1,4,0,2,0,0,1,7,0,2,6,0,2,0,0,2,0,0,2,0,0,0,Yangon,NA,7,7,7,4,0,61,0.47692307692307695,0.42105263157894735,0,rural,1,0,20,15.5,0,0,0,0,1,0,1
122,1,11,1,1,1,7,0,2,1,2,2,2,2,2,1,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,7,0,2,0,0,1,7,0,1,7,0,2,0,0,2,1,0,2,0,0,1,7,0,1,7,0,2,0,0,1,1,0,2,0,0,2,1,0,0,Yangon,NA,7,7,7,1,1,81,0.6820512820512821,0.42105263157894735,0.3333333333333333,rural,1,0,21,15.5,0,1,0,0,1,0,1
125,1,7,1,3,1,7,0,2,1,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,1,5,0,2,1,0,2,1,0,1,7,0,2,1,0,2,1,0,2,3,0,2,0,0,1,7,0,1,2,0,2,2,0,2,0,0,1,5,0,0,Yangon,NA,5,7,7,3,5,61,0.47692307692307695,0.631578947368421,0,rural,1,0,26,19,0,1,0,0,0,0,1
147,1,11,2,4,2,3,0,2,1,2,1,1,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,2,0,1,7,0,2,2,0,1,5,0,1,7,0,1,7,0,1,7,0,2,2,0,1,1,0,1,7,0,2,0,0,2,3,0,1,2,0,1,7,0,0,Yangon,NA,7,7,7,7,7,81,0.6820512820512821,0.42105263157894735,0.3333333333333333,rural,1,0,20,14.5,1,0,0,0,0,0,1
149,2,11,2,1,2,6,0,2,1,2,1,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,6,0,2,0,0,1,6,0,1,7,0,2,0,0,2,1,0,2,0,0,2,0,0,2,0,0,1,6,0,1,2,0,2,0,0,2,3,0,0,Yangon,NA,6,7,6,1,3,50,0.3641025641025641,0.42105263157894735,0.3333333333333333,urban,0,0,22,17,1,1,0,0,1,0,1
152,1,11,1,1,1,3,0,2,1,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,2,0,2,2,0,2,1,0,2,2,0,2,7,0,2,0,0,1,2,0,2,0,0,2,0,0,1,7,0,2,2,0,1,3,0,2,0,0,2,5,0,0,Yangon,NA,2,7,7,2,5,55,0.4153846153846154,0.42105263157894735,0.3333333333333333,rural,1,0,26,18.5,0,0,0,0,1,0,1
153,1,10,1,3,1,3,0,2,1,2,2,1,2,2,1,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,2,0,1,5,0,2,2,0,2,3,0,1,7,0,2,2,0,2,0,0,2,0,0,2,0,0,1,7,0,2,2,0,2,3,0,2,0,0,2,2,0,0,Yangon,NA,5,7,7,0,2,49,0.35384615384615387,0.47368421052631576,0.6666666666666666,rural,1,0,26,18,0,0,0,0,0,1,1
155,2,16,1,3,1,6,0,2,1,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,7,0,2,1,0,1,7,0,1,7,0,2,3,0,2,1,0,1,7,0,2,0,0,1,5,0,1,5,0,2,2,0,2,0,0,2,0,0,0,Yangon,NA,7,7,5,7,0,62,0.48717948717948717,0.15789473684210525,0.3333333333333333,urban,0,0,26,18,0,1,0,0,0,0,1
168,1,11,1,1,1,3,0,2,1,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,1,3,0,2,1,0,1,3,0,1,7,0,2,1,0,1,1,0,2,2,0,2,0,0,1,7,0,1,2,0,1,1,0,2,0,0,1,5,0,0,Yangon,NA,3,7,7,2,5,56,0.42564102564102563,0.42105263157894735,0.3333333333333333,rural,1,0,25,17,0,0,0,0,1,0,1
170,1,9,1,1,2,6,0,1,1,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,2,2,0,2,2,0,1,7,0,2,0,0,1,1,0,2,0,0,2,0,0,1,7,0,1,3,0,2,2,0,2,0,0,1,4,0,0,Yangon,NA,2,7,7,1,4,51,0.37435897435897436,0.5263157894736842,0,rural,1,0,30,21,1,1,0,0,1,0,1
172,1,10,1,2,1,3,0,2,1,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,1,2,0,2,1,0,2,3,0,1,7,0,2,4,0,2,2,0,2,2,0,2,1,0,1,5,0,1,4,0,2,3,0,2,1,0,2,5,0,0,Yangon,NA,3,7,5,2,5,52,0.38461538461538464,0.47368421052631576,0,rural,1,0,25,17.5,0,0,0,0,1,0,1
173,1,5,1,4,2,7,0,2,1,2,2,1,2,2,1,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,2,0,1,3,0,1,1,0,1,2,0,1,7,0,1,1,0,2,0,0,2,2,0,2,0,0,1,7,0,2,2,0,2,1,0,2,0,0,1,7,0,0,Yangon,NA,3,7,7,2,7,58,0.4461538461538462,0.7368421052631579,0,rural,1,0,25,17.5,1,1,0,0,0,0,1
174,1,5,2,2,2,4,0,2,6,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2,2,1,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,1,7,0,2,0,0,2,0,0,1,7,0,2,0,0,2,0,0,2,0,0,2,0,0,1,7,0,1,1,0,1,3,0,1,4,0,2,0,0,0,Yangon,NA,7,7,7,0,4,53,0.39487179487179486,0.7368421052631579,0.6666666666666666,rural,1,1,20,14.5,1,0,0,0,1,1,1
177,1,9,1,1,2,3,0,2,1,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,1,6,0,2,0,0,2,4,0,1,7,0,2,0,0,2,0,0,2,0,0,2,0,0,2,6,0,2,2,0,1,4,0,2,0,0,2,0,0,0,Yangon,NA,6,7,6,0,0,44,0.30256410256410254,0.5263157894736842,0.3333333333333333,rural,1,0,25,17.5,1,0,0,0,1,0,1
181,1,5,1,1,2,4,0,2,1,2,2,1,2,1,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,5,0,1,5,0,1,5,0,1,7,0,2,1,0,2,3,0,2,7,0,2,0,0,1,7,0,1,4,0,1,7,0,2,2,0,1,5,0,0,Yangon,NA,5,7,7,7,5,73,0.6,0.7368421052631579,0,rural,1,0,24,17,1,0,0,0,1,0,1
183,1,11,1,4,1,5,0,1,7,2,2,1,2,2,1,2,0,0,0,0,0,0,0,0,2,2,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,3,0,2,3,0,1,3,0,1,7,0,1,2,0,2,0,0,1,3,0,2,0,0,1,7,0,1,4,0,1,5,0,2,0,0,1,2,0,0,Yangon,NA,3,7,7,3,2,56,0.42564102564102563,0.42105263157894735,1,rural,1,0,27,20.5,0,0,0,0,0,1,1
185,1,6,1,4,2,3,0,2,1,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,5,0,2,0,0,2,2,0,1,7,0,2,1,0,2,1,0,1,4,0,2,0,0,1,7,0,1,4,0,2,0,0,2,0,0,1,7,0,0,Yangon,NA,5,7,7,4,7,66,0.5282051282051282,0.6842105263157895,0,rural,1,0,29,22,1,0,0,0,0,0,1
188,1,10,2,1,2,3,0,2,1,2,2,2,2,2,1,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,1,3,0,2,0,0,1,3,0,1,7,0,2,0,0,2,0,0,2,0,0,2,0,0,1,7,0,2,0,0,2,1,0,2,0,0,1,2,0,0,Yangon,NA,3,7,7,0,2,47,0.3333333333333333,0.47368421052631576,0.3333333333333333,rural,1,0,36,26.5,1,0,0,0,1,0,1
195,1,7,1,1,2,3,0,2,1,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,7,0,2,1,0,1,7,0,1,7,0,2,0,0,2,0,0,2,0,0,2,0,0,1,7,0,1,1,0,1,2,0,2,0,0,2,0,0,0,Yangon,NA,7,7,7,0,0,49,0.35384615384615387,0.631578947368421,0.3333333333333333,rural,1,0,30,21,1,0,0,0,1,0,1
