township,admin3_pcode,pin_idp,pin_returnees,pin_stateless,pin_other,pin_total,pin_female_pc,pin_children_pc,pin_adults_pc,pin_elderly_pc,pin_pwd_pc,target_idp,target_returnees,target_stateless,target_other,target_total,target_female_pc,target_children_pc,target_adults_pc,target_elderly_pc,target_pwd_pc,state,admin1_pcode,conflict_score,mdp_adjust,priority_score
Amarapura,MMR010006,0,0,0,29865.6279,29865.6279,0.52,0.36,0.54,0.11,0.13,0,0,0,0,2987,0.52,0.36,0.54,0.11,0.13,Mandalay,MMR010,0.09407450279729739,0.16245945622340102,0.1282669795103492
Patheingyi,MMR010007,0,0,0,33146.95316,33146.95316,0.52,0.36,0.54,0.11,0.13,0,0,0,0,3315,0.52,0.36,0.54,0.11,0.13,Mandalay,MMR010,0.057838333011989616,0.2143045409174225,0.13607143696470606
Pyinoolwin,MMR010008,0,0,0,32114.17844,32114.17844,0.52,0.36,0.54,0.11,0.13,0,0,0,0,3211,0.52,0.36,0.54,0.11,0.13,Mandalay,MMR010,0.0668221755320039,0.24297680085216988,0.15489948819208688
Madaya,MMR010009,0,0,0,32427.51754,32427.51754,0.52,0.36,0.54,0.11,0.13,0,0,0,0,3243,0.52,0.36,0.54,0.11,0.13,Mandalay,MMR010,0.249082353859993,0.4020487943248627,0.3255655740924278
Singu,MMR010010,0,0,0,19806.47498,19806.47498,0.52,0.36,0.54,0.11,0.13,0,0,0,0,1981,0.52,0.36,0.54,0.11,0.13,Mandalay,MMR010,0.07174767365333959,0.39373751356019066,0.23274259360676514
Mogoke,MMR010011,0,0,0,21008.55086,21008.55086,0.52,0.36,0.54,0.11,0.13,0,0,0,0,2101,0.52,0.36,0.54,0.11,0.13,Mandalay,MMR010,0.3090585277001683,0.25663010715647955,0.28284431742832394
Thabeikkyin,MMR010012,0,0,0,20575.30582,20575.30582,0.52,0.36,0.54,0.11,0.13,0,0,0,0,2058,0.52,0.36,0.54,0.11,0.13,Mandalay,MMR010,0.043295671026153164,0.4476729098303335,0.24548429042824332
Kyaukse,MMR010013,0,0,0,32415.70291,32415.70291,0.52,0.36,0.54,0.11,0.13,0,0,0,0,3242,0.52,0.36,0.54,0.11,0.13,Mandalay,MMR010,0.1149061741571257,0.3111733173329382,0.21303974574503193
Sintgaing,MMR010014,0,0,0,18717.14085,18717.14085,0.52,0.36,0.54,0.11,0.13,0,0,0,0,1872,0.52,0.36,0.54,0.11,0.13,Mandalay,MMR010,0.08157997750166282,0.2649244599972944,0.1732522187494786
Myittha,MMR010015,0,0,0,24588.13272,24588.13272,0.52,0.36,0.54,0.11,0.13,0,0,0,0,2459,0.52,0.36,0.54,0.11,0.13,Mandalay,MMR010,0.018881045119357138,0.41171272530007336,0.21529688520971524
Tada-U,MMR010016,0,0,0,17422.43324,17422.43324,0.52,0.36,0.54,0.11,0.13,0,0,0,0,1742,0.52,0.36,0.54,0.11,0.13,Mandalay,MMR010,0.042919530026395245,0.41245079784297334,0.2276851639346843
Myingyan,MMR010017,0,0,0,34701.83403,34701.83403,0.52,0.36,0.54,0.11,0.13,0,0,0,0,3470,0.52,0.36,0.54,0.11,0.13,Mandalay,MMR010,0.3635943592094361,0.3359011103515642,0.34974773478050014
Taungtha,MMR010018,0,0,0,27229.20553,27229.20553,0.52,0.36,0.54,0.11,0.13,0,0,0,0,2723,0.52,0.36,0.54,0.11,0.13,Mandalay,MMR010,0.10417278711814956,0.3722068333222044,0.238189810220177
Natogyi,MMR010019,0,0,0,22256.50269,22256.50269,0.52,0.36,0.54,0.11,0.13,0,0,0,0,2226,0.52,0.36,0.54,0.11,0.13,Mandalay,MMR010,0.12601191550581206,0.3267407195467962,0.2263763175263041
Kyaukpadaung,MMR010020,0,0,0,32918.57886,32918.57886,0.52,0.36,0.54,0.11,0.13,0,0,0,0,3292,0.52,0.36,0.54,0.11,0.13,Mandalay,MMR010,0.10329298497093063,0.42442919152215125,0.2638610882465409
Ngazun,MMR010021,0,0,0,15614.5433,15614.5433,0.52,0.36,0.54,0.11,0.13,0,0,0,0,1561,0.52,0.36,0.54,0.11,0.13,Mandalay,MMR010,0.027404541672734622,0.4196455453775326,0.22352504352513364
Nyaung-U,MMR010022,0,0,0,30158.35424,30158.35424,0.52,0.36,0.54,0.11,0.13,0,0,0,0,3016,0.52,0.36,0.54,0.11,0.13,Mandalay,MMR010,0.08934810267980167,0.4164352170424553,0.2528916598611285
Yamethin,MMR010023,0,0,0,32438.82942,32438.82942,0.52,0.36,0.54,0.11,0.13,0,0,0,0,3244,0.52,0.36,0.54,0.11,0.13,Mandalay,MMR010,8.272923112165615e-4,0.4049873374257512,0.2029073148684839
Pyawbwe,MMR010024,0,0,0,32715.59344,32715.59344,0.52,0.36,0.54,0.11,0.13,0,0,0,0,3272,0.52,0.36,0.54,0.11,0.13,Mandalay,MMR010,0.0026271407587329467,0.39719419155941754,0.19991066615907524
Meiktila,MMR010028,0,0,0,38920.78854,38920.78854,0.52,0.36,0.54,0.11,0.13,0,0,0,0,3892,0.52,0.36,0.54,0.11,0.13,Mandalay,MMR010,0.11650883567909191,0.2521077308909758,0.18430828328503387
Mahlaing,MMR010029,0,0,0,17524.24017,17524.24017,0.52,0.36,0.54,0.11,0.13,0,0,0,0,1752,0.52,0.36,0.54,0.11,0.13,Mandalay,MMR010,0.049097802071221254,0.4355587805249886,0.24232829129810493
Thazi,MMR010030,0,0,0,25474.35574,25474.35574,0.52,0.36,0.54,0.11,0.13,0,0,0,0,2547,0.52,0.36,0.54,0.11,0.13,Mandalay,MMR010,0.018436510989498285,0.3684620967564909,0.19344930387299458
Wundwin,MMR010031,0,0,0,28877.97501,28877.97501,0.52,0.36,0.54,0.11,0.13,0,0,0,0,2888,0.52,0.36,0.54,0.11,0.13,Mandalay,MMR010,0.0625101904787624,0.4000302607565289,0.23127022561764565
Mawlamyine,MMR011001,0,0,0,44000,44000,0.52,0.36,0.54,0.11,0.13,0,0,0,0,0,0.52,0.36,0.54,0.11,0.13,Mon,MMR011,0.18642366735152802,0.1780055631154376,0.1822146152334828
Kyaikmaraw,MMR011002,0,0,0,24000,24000,0.52,0.36,0.54,0.11,0.13,0,0,0,0,0,0.52,0.36,0.54,0.11,0.13,Mon,MMR011,0.019597080263085903,0.4620284325952402,0.24081275642916306
Chaungzon,MMR011003,0,0,0,12000,12000,0.52,0.36,0.54,0.11,0.13,0,0,0,0,0,0.52,0.36,0.54,0.11,0.13,Mon,MMR011,0.015213833641965269,0.34941340190592773,0.1823136177739465
Thanbyuzayat,MMR011004,0,0,0,23000,23000,0.52,0.36,0.54,0.11,0.13,0,0,0,0,0,0.52,0.36,0.54,0.11,0.13,Mon,MMR011,0.027590894496462508,0.4792912820849028,0.2534410882906826
Mudon,MMR011005,0,0,0,27000,27000,0.52,0.36,0.54,0.11,0.13,0,0,0,0,0,0.52,0.36,0.54,0.11,0.13,Mon,MMR011,0.03326633881244131,0.28238548796271584,0.15782591338757856
Ye,MMR011006,0,0,0,61436.53538,61436.53538,0.52,0.36,0.54,0.11,0.13,0,0,0,0,10000,0.52,0.36,0.54,0.11,0.13,Mon,MMR011,0.31845101933347775,0.41618046652902263,0.3673157429312502
Thaton,MMR011007,0,0,0,55489.66594,55489.66594,0.52,0.36,0.54,0.11,0.13,0,0,0,0,10000,0.52,0.36,0.54,0.11,0.13,Mon,MMR011,0.19859475870958196,0.3673469899976658,0.2829708743536239
Paung,MMR011008,0,0,0,34004,34004,0.52,0.36,0.54,0.11,0.13,0,0,0,0,0,0.52,0.36,0.54,0.11,0.13,Mon,MMR011,0.03207041219436997,0.3781246518449696,0.20509753201966976
Kyaikto,MMR011009,0,0,0,43004.45614,43004.45614,0.52,0.36,0.54,0.11,0.13,0,0,0,0,10000,0.52,0.36,0.54,0.11,0.13,Mon,MMR011,0.22595830376184467,0.33541840388111177,0.2806883538214782
Bilin,MMR011010,1095,0,0,41933.8259,43028.8259,0.52,0.36,0.54,0.11,0.13,1095,0,0,0,5000,0.52,0.36,0.54,0.11,0.13,Mon,MMR011,0.12262171152925885,0.4433857881535719,0.28300374984141535
Sittwe,MMR012001,112456,373.7095533,2491.397022,13395.70889,128716.8155,0.52,0.36,0.54,0.11,0.13,112456,0,0,0,80000,0.52,0.36,0.54,0.11,0.13,Rakhine,MMR012,0.6639030586324861,0.40256582102622784,0.5332344398293569
Ponnagyun,MMR012002,2889,0,905.5801936,33205.41981,37000,0.52,0.36,0.54,0.11,0.13,2889,0,0,0,0,0.52,0.36,0.54,0.11,0.13,Rakhine,MMR012,0.01770369629196268,0.7839836859274947,0.4008436911097287
Mrauk-U,MMR012003,22743,0,17342.15837,52084.16748,92169.32585,0.52,0.36,0.54,0.11,0.13,22743,0,0,0,50000,0.52,0.36,0.54,0.11,0.13,Rakhine,MMR012,0.12520725761506657,0.7288049364819844,0.4270060970485255
Kyauktaw,MMR012004,15095,0,14310.82829,51329.82131,80735.6496,0.52,0.36,0.54,0.11,0.13,15095,0,0,0,40000,0.52,0.36,0.54,0.11,0.13,Rakhine,MMR012,0.09008379980556491,0.7113359516980922,0.40070987575182854
Minbya,MMR012005,2922,0,28083.06681,40815.15192,71820.21873,0.52,0.36,0.54,0.11,0.13,2922,0,0,0,50000,0.52,0.36,0.54,0.11,0.13,Rakhine,MMR012,0.01984130798457188,0.7827968571832539,0.40131908258391286
Myebon,MMR012006,6579,0,0,29421,36000,0.52,0.36,0.54,0.11,0.13,6579,0,0,0,0,0.52,0.36,0.54,0.11,0.13,Rakhine,MMR012,0.035786127194941064,0.7745733830172674,0.40517975510610427
Pauktaw,MMR012007,24429,0,20423.70647,5147.293533,50000,0.52,0.36,0.54,0.11,0.13,24429,0,0,0,0,0.52,0.36,0.54,0.11,0.13,Rakhine,MMR012,0.13804918663090415,0.850472474925548,0.4942608307782261
Rathedaung,MMR012008,19553,0,7115.377229,31430.52335,58098.90058,0.52,0.36,0.54,0.11,0.13,19553,0,0,0,10000,0.52,0.36,0.54,0.11,0.13,Rakhine,MMR012,0.10240950479393572,0.8542345584203834,0.4783220316071596
Maungdaw,MMR012009,0,92.20618358,14199.75227,2596.624585,16888.58304,0.52,0.36,0.54,0.11,0.13,0,0,0,0,16889,0.52,0.36,0.54,0.11,0.13,Rakhine,MMR012,0.10828488516850529,0.5410905300873877,0.3246877076279465
Buthidaung,MMR012010,7030,0,15260.83045,4927.692901,27218.52335,0.52,0.36,0.54,0.11,0.13,7030,0,0,0,25000,0.52,0.36,0.54,0.11,0.13,Rakhine,MMR012,0.0754274296252615,0.6608733138560238,0.36815037174064263
Kyaukpyu,MMR012011,1001,0,0,45999,47000,0.52,0.36,0.54,0.11,0.13,1001,0,0,0,0,0.52,0.36,0.54,0.11,0.13,Rakhine,MMR012,0.01201789711901742,0.5481398998428183,0.2800788984809179
Munaung,MMR012012,0,0,0,14000,14000,0.52,0.36,0.54,0.11,0.13,0,0,0,0,0,0.52,0.36,0.54,0.11,0.13,Rakhine,MMR012,8.272923112165615e-4,0.4939312695392774,0.247379280925247
Ramree,MMR012013,0,0,0,26000,26000,0.52,0.36,0.54,0.11,0.13,0,0,0,0,0,0.52,0.36,0.54,0.11,0.13,Rakhine,MMR012,0.0016545846224331057,0.6185159243972967,0.3100852545098649
Ann,MMR012014,3984,0,0,47978.54245,51962.54245,0.52,0.36,0.54,0.11,0.13,3984,0,0,0,1000,0.52,0.36,0.54,0.11,0.13,Rakhine,MMR012,0.04249169494297538,0.5790682798387243,0.31077998739084983
Thandwe,MMR012015,0,0,0,36000,36000,0.52,0.36,0.54,0.11,0.13,0,0,0,0,0,0.52,0.36,0.54,0.11,0.13,Rakhine,MMR012,0.06184233177721658,0.3535431183422867,0.20769272505975164
Toungup,MMR012016,0,0,0,44000,44000,0.52,0.36,0.54,0.11,0.13,0,0,0,0,0,0.52,0.36,0.54,0.11,0.13,Rakhine,MMR012,0.0407544771471081,0.47875337716297034,0.2597539271550392
Gwa,MMR012017,0,0,0,12000,12000,0.52,0.36,0.54,0.11,0.13,0,0,0,0,0,0.52,0.36,0.54,0.11,0.13,Rakhine,MMR012,0.015376193411612076,0.3812401599276468,0.19830817666962944
Insein,MMR013001,0,0,0,99476.25275,99476.25275,0.52,0.36,0.54,0.11,0.13,0,0,0,0,99476,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.307510312788081,0.08406435409430534,0.19578733344119317
Mingaladon,MMR013002,0,0,0,108047.067,108047.067,0.52,0.36,0.54,0.11,0.13,0,0,0,0,108047,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.08882437558369671,0.09913072053572343,0.09397754805971006
Hmawbi,MMR013003,0,0,0,79705.02045,79705.02045,0.52,0.36,0.54,0.11,0.13,0,0,0,0,79705,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.020415808171528,0.2558478284189668,0.1381318182952474
Hlegu,MMR013004,0,0,0,88220.76613,88220.76613,0.52,0.36,0.54,0.11,0.13,0,0,0,0,88221,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.043033869204747624,0.27243005603823095,0.15773196262148928
Taikkyi,MMR013005,0,0,0,90347.58453,90347.58453,0.52,0.36,0.54,0.11,0.13,0,0,0,0,90348,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.04095328733303842,0.37436132060618404,0.20765730396961124
Htantabin,MMR013006,0,0,0,47506.22157,47506.22157,0.52,0.36,0.54,0.11,0.13,0,0,0,0,47506,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.007365322833980372,0.43193038879814055,0.21964785581606047
Shwepyithar,MMR013007,0,0,0,111937.7076,111937.7076,0.52,0.36,0.54,0.11,0.13,0,0,0,0,111938,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.1360560444482419,0.14549075526285232,0.1407733998555471
Hlaingtharya,MMR013008,0,0,0,227976,227976,0.52,0.36,0.54,0.11,0.13,0,0,0,0,227976,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.25842390397255266,0.14128450619169708,0.19985420508212487
Thingangyun,MMR013009,0,0,0,68260.86708,68260.86708,0.52,0.36,0.54,0.11,0.13,0,0,0,0,68261,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.1607131177047235,0.04529656539193353,0.10300484154832851
Yankin,MMR013010,0,0,0,23117.70465,23117.70465,0.52,0.36,0.54,0.11,0.13,0,0,0,0,23118,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.06777726649766293,0.01614032377022556,0.041958795133944245
South Okkalapa,MMR013011,0,0,0,52502.79479,52502.79479,0.52,0.36,0.54,0.11,0.13,0,0,0,0,52503,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.16318376251288927,0.026298915100346522,0.09474133880661789
North Okkalapa,MMR013012,0,0,0,108603.2917,108603.2917,0.52,0.36,0.54,0.11,0.13,0,0,0,0,108603,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.16480435680927077,0.06803791895761908,0.11642113788344494
Thaketa,MMR013013,0,0,0,71868.01886,71868.01886,0.52,0.36,0.54,0.11,0.13,0,0,0,0,71868,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.2956557577202167,0.06658544725196072,0.1811206024860887
Dawbon,MMR013014,0,0,0,24544.59874,24544.59874,0.52,0.36,0.54,0.11,0.13,0,0,0,0,24545,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.07056341081953929,0.10103655068019006,0.08579998074986467
Tamwe,MMR013015,0,0,0,53867.12582,53867.12582,0.52,0.36,0.54,0.11,0.13,0,0,0,0,53867,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.3386226497598891,0.029586536255686895,0.184104593007788
Pazundaung,MMR013016,0,0,0,15789.02797,15789.02797,0.52,0.36,0.54,0.11,0.13,0,0,0,0,15789,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.04569851214902651,0.030223200074710216,0.03796085611186836
Botahtaung,MMR013017,0,0,0,13358.19217,13358.19217,0.52,0.36,0.54,0.11,0.13,0,0,0,0,13358,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.033845292523632636,0.013963824677600491,0.023904558600616563
Dagon Myothit (South),MMR013018,0,0,0,121100.59,121100.59,0.52,0.36,0.54,0.11,0.13,0,0,0,0,121101,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.220048769632772,0.13105293416934963,0.17555085190106082
Dagon Myothit (North),MMR013019,0,0,0,66456.31364,66456.31364,0.52,0.36,0.54,0.11,0.13,0,0,0,0,66456,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.1799294367923396,0.051116135692075564,0.11552278624220759
Dagon Myothit (East),MMR013020,0,0,0,53969.76835,53969.76835,0.52,0.36,0.54,0.11,0.13,0,0,0,0,53970,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.02426435673354084,0.16019268374369167,0.09222852023861625
Dagon Myothit (Seikkan),MMR013021,0,0,0,54562.81408,54562.81408,0.52,0.36,0.54,0.11,0.13,0,0,0,0,54563,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.08818511333349581,0.18748499511164154,0.13783505422256867
Mingalartaungnyunt,MMR013022,0,0,0,43173.07754,43173.07754,0.52,0.36,0.54,0.11,0.13,0,0,0,0,43173,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.15858317560705495,0.05006087895746022,0.10432202728225759
Thanlyin,MMR013023,0,0,0,87348.14169,87348.14169,0.52,0.36,0.54,0.11,0.13,0,0,0,0,87348,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.09982163640357071,0.28042467099711343,0.19012315370034208
Kyauktan,MMR013024,0,0,0,54562.81408,54562.81408,0.52,0.36,0.54,0.11,0.13,0,0,0,0,54563,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.01486397380198552,0.4221174754196396,0.21849072461081256
Thongwa,MMR013025,0,0,0,51443.78455,51443.78455,0.52,0.36,0.54,0.11,0.13,0,0,0,0,51444,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.013533798499990377,0.5207006923741412,0.2671172454370658
Kayan,MMR013026,0,0,0,51490.381,51490.381,0.52,0.36,0.54,0.11,0.13,0,0,0,0,51490,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.04179963914153704,0.46024314471456623,0.2510213919280516
Twantay,MMR013027,0,0,0,73914.35248,73914.35248,0.52,0.36,0.54,0.11,0.13,0,0,0,0,73914,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.061461537148577425,0.4784769067968414,0.2699692219727094
Kawhmu,MMR013028,0,0,0,38792.35952,38792.35952,0.52,0.36,0.54,0.11,0.13,0,0,0,0,38792,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.04413320626245567,0.5858109663445412,0.31497208630349843
Kungyangon,MMR013029,0,0,0,36375.209390000004,36375.209390000004,0.52,0.36,0.54,0.11,0.13,0,0,0,0,36375,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.045028315110166216,0.41093610455732354,0.22798220983374487
Dala,MMR013030,0,0,0,56325.33296,56325.33296,0.52,0.36,0.54,0.11,0.13,0,0,0,0,56325,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.031333442123557355,0.3501411609534142,0.19073730153848578
Seikgyikanaungto,MMR013031,0,0,0,11079.85385,11079.85385,0.52,0.36,0.54,0.11,0.13,0,0,0,0,11080,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.012502823906716504,0.263254172742782,0.13787849832474924
Cocokyun,MMR013032,0,0,0,632.1476477,632.1476477,0.52,0.36,0.54,0.11,0.13,0,0,0,0,632,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0,0.17062920939000856,0.08531460469500428
Kyauktada,MMR013033,0,0,0,9727.579241,9727.579241,0.52,0.36,0.54,0.11,0.13,0,0,0,0,9728,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.20834088234138964,0.045385733003548874,0.12686330767246926
Pabedan,MMR013034,0,0,0,10862.51236,10862.51236,0.52,0.36,0.54,0.11,0.13,0,0,0,0,10863,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.008638072282004892,0.10287195429499113,0.05575501328849801
Lanmadaw,MMR013035,0,0,0,15367.05313,15367.05313,0.52,0.36,0.54,0.11,0.13,0,0,0,0,15367,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.044703824054324486,0.02712936339792104,0.03591659372612276
Latha,MMR013036,0,0,0,8164.805984,8164.805984,0.52,0.36,0.54,0.11,0.13,0,0,0,0,8165,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.01059188827882607,0.05052485399945567,0.030558371139140873
Ahlone,MMR013037,0,0,0,18078.77103,18078.77103,0.52,0.36,0.54,0.11,0.13,0,0,0,0,18079,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.05317919439713643,0.037455720267937725,0.04531745733253707
Kyeemyindaing,MMR013038,0,0,0,36336.75917,36336.75917,0.52,0.36,0.54,0.11,0.13,0,0,0,0,36337,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.0939636367459494,0.1749150299515865,0.13443933334876795
Sanchaung,MMR013039,0,0,0,32460.78171,32460.78171,0.52,0.36,0.54,0.11,0.13,0,0,0,0,32461,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.27473272186286074,0.013623077438049094,0.1441778996504549
Hlaing,MMR013040,0,0,0,52235.92421,52235.92421,0.52,0.36,0.54,0.11,0.13,0,0,0,0,52236,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.25066996124348445,0.0496356235075389,0.15015279237551168
Kamaryut,MMR013041,0,0,0,27556.7497,27556.7497,0.52,0.36,0.54,0.11,0.13,0,0,0,0,27557,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.14867028228362955,0,0.07433514114181478
Mayangone,MMR013042,0,0,0,64554.98295,64554.98295,0.52,0.36,0.54,0.11,0.13,0,0,0,0,64555,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.1325406171956092,0.0786970111353933,0.10561881416550126
Dagon,MMR013043,0,0,0,8172.952216,8172.952216,0.52,0.36,0.54,0.11,0.13,0,0,0,0,8173,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.01633532131373124,0.0017157009949599626,0.0090255111543456
Bahan,MMR013044,0,0,0,31520.05477,31520.05477,0.52,0.36,0.54,0.11,0.13,0,0,0,0,31520,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0.08343508227214473,0.03618599082377205,0.05981053654795839
Seikkan,MMR013045,0,0,0,920.8501301,920.8501301,0.52,0.36,0.54,0.11,0.13,0,0,0,0,921,0.52,0.36,0.54,0.11,0.13,Yangon,MMR013,0,0.143507668329466,0.071753834164733
Taunggyi,MMR014001,36,0,0,179092.8218,179128.8218,0.52,0.36,0.54,0.11,0.13,36,0,0,0,200,0.52,0.36,0.54,0.11,0.13,Shan (South),MMR222,0.3073154006462158,0.22128842607389815,0.264301913360057
Nyaungshwe,MMR014002,0,0,0,77442.02423,77442.02423,0.52,0.36,0.54,0.11,0.13,0,0,0,0,20,0.52,0.36,0.54,0.11,0.13,Shan (South),MMR222,0.0583088560657599,0.3076249794054927,0.18296691773562632
Hopong,MMR014003,0,0,0,45935.24282,45935.24282,0.52,0.36,0.54,0.11,0.13,0,0,0,0,50,0.52,0.36,0.54,0.11,0.13,Shan (South),MMR222,0.006936426513303411,0.4474258377732077,0.22718113214325555
Hsihseng,MMR014004,800,0,0,62275.13466,63075.13466,0.52,0.36,0.54,0.11,0.13,800,0,0,0,50,0.52,0.36,0.54,0.11,0.13,Shan (South),MMR222,0.04101186660641375,0.4584194583134068,0.24971566245991028
Kalaw,MMR014005,0,0,0,76082.95466,76082.95466,0.52,0.36,0.54,0.11,0.13,0,0,0,0,100,0.52,0.36,0.54,0.11,0.13,Shan (South),MMR222,0.09079734149542726,0.3187042613209158,0.20475080140817153
Pindaya,MMR014006,0,0,0,32424.27601,32424.27601,0.52,0.36,0.54,0.11,0.13,0,0,0,0,150,0.52,0.36,0.54,0.11,0.13,Shan (South),MMR222,0.03497939103047403,0.3715095424794108,0.20324446675494243
Ywangan,MMR014007,0,0,0,33744.50334,33744.50334,0.52,0.36,0.54,0.11,0.13,0,0,0,0,150,0.52,0.36,0.54,0.11,0.13,Shan (South),MMR222,0.08980561924882882,0.3940829497043293,0.24194428447657906
Lawksawk,MMR014008,0,0,0,67352.44553,67352.44553,0.52,0.36,0.54,0.11,0.13,0,0,0,0,20,0.52,0.36,0.54,0.11,0.13,Shan (South),MMR222,0.019320375246643928,0.3923424943333232,0.20583143478998356
Pinlaung,MMR014009,60,0,0,78585.21145,78645.21145,0.52,0.36,0.54,0.11,0.13,60,0,0,0,50,0.52,0.36,0.54,0.11,0.13,Shan (South),MMR222,0.0669297941812623,0.40509701185600583,0.23601340301863405
Pekon,MMR014010,9970,0,0,38685.43709,48655.43709,0.52,0.36,0.54,0.11,0.13,9970,0,0,0,150,0.52,0.36,0.54,0.11,0.13,Shan (South),MMR222,0.4701245697206947,0.4004756702739544,0.43530011999732454
Loilen,MMR014011,0,0,0,50927.08406,50927.08406,0.52,0.36,0.54,0.11,0.13,0,0,0,0,50,0.52,0.36,0.54,0.11,0.13,Shan (South),MMR222,0.028189348933058602,0.5497691447525352,0.2889792468427969
Laihka,MMR014012,0,0,0,19965.32063,19965.32063,0.52,0.36,0.54,0.11,0.13,0,0,0,0,50,0.52,0.36,0.54,0.11,0.13,Shan (South),MMR222,0.0077503289897580385,0.5198268848598869,0.2637886069248225
Nansang,MMR014013,0,0,0,47821.34026,47821.34026,0.52,0.36,0.54,0.11,0.13,0,0,0,0,1000,0.52,0.36,0.54,0.11,0.13,Shan (South),MMR222,0.009977756385280407,0.5447215387862434,0.2773496475857619
Kunhing,MMR014014,0,0,0,21834.65458,21834.65458,0.52,0.36,0.54,0.11,0.13,0,0,0,0,50,0.52,0.36,0.54,0.11,0.13,Shan (South),MMR222,0.004186450970874283,0.6361244668372625,0.32015545890406844
Kyethi,MMR014015,1281,0,0,29933.48036,31214.48036,0.52,0.36,0.54,0.11,0.13,1281,0,0,0,5000,0.52,0.36,0.54,0.11,0.13,Shan (South),MMR222,0.038101750292611626,0.7470443411642299,0.3925730457284208
Mongkaing,MMR014016,3035,0,0,29259.38776,32294.38776,0.52,0.36,0.54,0.11,0.13,3035,0,0,0,50,0.52,0.36,0.54,0.11,0.13,Shan (South),MMR222,0.10018813632175219,0.7009991528777527,0.40059364459975244
Monghsu,MMR014017,0,0,0,29745.79686,29745.79686,0.52,0.36,0.54,0.11,0.13,0,0,0,0,50,0.52,0.36,0.54,0.11,0.13,Shan (South),MMR222,0.011447906418803694,0.6476811748862619,0.32956454065253277
Langkho,MMR014018,0,0,0,12500,12500,0.52,0.36,0.54,0.11,0.13,0,0,0,0,0,0.52,0.36,0.54,0.11,0.13,Shan (South),MMR222,0,0.44473959181536954,0.22236979590768477
Mongnai,MMR014019,0,0,0,16124.02745,16124.02745,0.52,0.36,0.54,0.11,0.13,0,0,0,0,50,0.52,0.36,0.54,0.11,0.13,Shan (South),MMR222,0.004424887617107524,0.4732932473892902,0.23885906750319885
Mawkmai,MMR014020,0,0,0,6000,6000,0.52,0.36,0.54,0.11,0.13,0,0,0,0,0,0.52,0.36,0.54,0.11,0.13,Shan (South),MMR222,0.0012630920511871842,0.6996380108725138,0.35045055146185045
Mongpan,MMR014021,0,0,0,10600.25194,10600.25194,0.52,0.36,0.54,0.11,0.13,0,0,0,0,50,0.52,0.36,0.54,0.11,0.13,Shan (South),MMR222,0.007007014505554436,0.4899640082154671,0.24848551136051075
