ims_farmer,ims_other,ims_public_em,ims_stable_ag,ims_stable_non_ag,ims_casual_ag,ims_casual_non_ag,ims_prof_self_em,ims_no_income,shocks_conflict,shocks_naturalhazard,shocks_lostwork,shocks_foodprices,shocks_cantworkbusiness,shocks_accesseconomy,no_accessmarket,edu_higher,edu_secondary,edu_primary,edu_low,rural,children_0_4,hoh_female,fies_ateless,fies_fewfoods,fies_healthy,fies_hungry,fies_worried,fies_ranout,fies_whlday,fies_skipped,fcs_stap,fcs_pulse,fcs_dairy,fcs_pr,fcs_veg,fcs_fruit,fcs_fat,fcs_sugar,fcs_borderline_poor,cs_stress_hh_assets,cs_stress_spent_savings,cs_stress_credit,cs_stress_borrowed_money,cs_crisis_sold_prod_assets,cs_crisis_no_school,cs_crisis_reduced_health_exp,cs_crisis_childwork,cs_crisis_consumed_seed_stocks,cs_emergency_sold_house,cs_emergency_hh_risk,cs_emergency_sold_last_draught,cs_emergency_hh_migration,hh_debt_more,survey_id,agri_hhd,hh_size,not_improved_drinking_water,tot_income,income_reduced,covid_goodstransp,covid_marketclosed
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5714285714285714,0.7142857142857143,0,0,0.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U-4391274764763428460,0,5,0,170000,0.6666666666666666,0,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0.42857142857142855,1,0.5714285714285714,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,U-4462658200756712227,0,6,1,0,0.6666666666666666,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0.2857142857142857,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,U-4486810408972363235,0,5,0,450000,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7142857142857143,1,0.5714285714285714,0.42857142857142855,0.5714285714285714,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U-4489750547424607301,0,4,0,270000,0,0,0
0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7142857142857143,0.7142857142857143,0,0,0.7142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U-4551308764066944062,0,4,0,250000,0.3333333333333333,1,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7142857142857143,0.7142857142857143,0.14285714285714285,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.7142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U-4600931558107421689,0,4,0,300000,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42857142857142855,1,0,0,0.5714285714285714,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,U-4638489293354559351,0,1,0,200000,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0.7142857142857143,0,0.7142857142857143,0.5714285714285714,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,U-4705290795133110645,0,2,0,250000,0.6666666666666666,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0.7142857142857143,1,0.42857142857142855,0.5714285714285714,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,U-4892320373425278414,0,7,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.7142857142857143,1,0.2857142857142857,0.2857142857142857,0.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U-5298966275296320964,0,8,0,0,0,0,0
0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0.5714285714285714,1,0.14285714285714285,0,1,0,0.8571428571428571,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,U-5410714252168639597,1,6,0,250000,0.3333333333333333,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0.8571428571428571,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,U-5509092235631453146,0,4,0,300000,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0.7142857142857143,0,0.8571428571428571,0.42857142857142855,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,U-556407168992001990,1,4,1,150000,0.3333333333333333,1,0
0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0.5714285714285714,0.8571428571428571,0.5714285714285714,0,1,0,0.7142857142857143,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,U-5693874380739175288,0,6,0,300000,0.3333333333333333,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.2857142857142857,1,0.14285714285714285,0,0.5714285714285714,0,0.5714285714285714,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,U-5732019474422818050,0,3,0,600000,0.6666666666666666,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0.7142857142857143,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,U-5743229028118048701,0,4,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,0,1,0,1,1,0,0.5714285714285714,0.8571428571428571,0.5714285714285714,0,1,0.42857142857142855,0.7142857142857143,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,U-5763823366433496170,0,6,1,250000,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.42857142857142855,1,0.7142857142857143,0,0,0,0.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U-6042207014891777599,1,4,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.5714285714285714,1,0,0,0,0,0.5714285714285714,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,U-6067565762499414473,0,4,0,680000,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,0,1,0,0,0,0,0.7142857142857143,1,0.8571428571428571,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,U-6195977856079994571,0,9,1,300000,0.6666666666666666,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.42857142857142855,0.42857142857142855,0,0,1,0,0.7142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U-631764430470925802,0,5,0,400000,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0.8571428571428571,0.8571428571428571,0.14285714285714285,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,U-6529874544899149785,0,5,0,400000,0.6666666666666666,0,0
0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5714285714285714,1,0.7142857142857143,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,U-6560177053837010423,0,5,0,250000,0.6666666666666666,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0.5714285714285714,1,0.5714285714285714,0.2857142857142857,0.8571428571428571,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,U-6586130435153080807,0,6,0,80000,0,0,0
