District, Township ,Township Pcode,"internally displaced
people (IDP) -PiN","IDPs: returnees/resettled/
locally integrated -PiN","non-displaced stateless
people in Rakhine -PiN","Mostly vulnerable
crisis-affected people -PiN",Total PiN,Non-IDP,Female %,Children (Age <18) %,Adults (Age 18 -60) %,Elderly (Age 60+) %,People with disabilities %,"internally displaced
people (IDP) -target","IDPs: returnees/resettled/
locally integrated -target","non-displaced stateless
people in Rakhine -target","Mostly vulnerable
crisis-affected people -target",Total target,IDP Target > Total Target,Female % ,Children (Age <18) % ,Adults (Age 18 -60) % ,Elderly (Age 60+) % ,"Mostly vulnerable
crisis-affected people -target2",%IDP,%Returnees,%Rakhine Stateless,%Other Vulnerable,%Target,SO1 Target,SO2 Target,SO3 Target,IDP_SO1,Returnees_SO1,Rakhine Stateless_SO1,Other Vulnerable_SO1,IDP_SO2,Returnees_SO2,Rakhine Stateless_SO2,Other Vulnerable_SO2,IDP_SO3,Returnees_SO3,Rakhine Stateless_SO3,Other Vulnerable_SO3
Pathein,Pathein,MMR017001,0,0,0,115403.6746,115403.6746,115403.6746,52,36,54,11,13,0,,,,15002,Not,52,36,54,11,13,,0,0,100,0.003659024,2034.417561,10772.1678,3110.170732,0,0,0,2034.417561,0,0,0,10772.1678,0,0,0,3110.170732
Pathein,Thabaung,MMR017003,0,0,0,46769.1047,46769.1047,46769.1047,52,36,54,11,13,0,,,,6080,Not,52,36,54,11,13,,0,0,100,0.001482927,824.5073171,4365.736585,1260.487805,0,0,0,824.5073171,0,0,0,4365.736585,0,0,0,1260.487805
Pathein,Yegyi,MMR017006,0,0,0,58794.58045,58794.58045,58794.58045,52,36,54,11,13,0,,,,7643,Not,52,36,54,11,13,,0,0,100,0.001864146,1036.465366,5488.046829,1584.52439,0,0,0,1036.465366,0,0,0,5488.046829,0,0,0,1584.52439
Pyapon,Bogale,MMR017024,0,0,0,97738.03865,97738.03865,97738.03865,52,36,54,11,13,0,,,,12706,Not,52,36,54,11,13,,0,0,100,0.003099024,1723.057561,9123.527805,2634.170732,0,0,0,1723.057561,0,0,0,9123.527805,0,0,0,2634.170732
Pyapon,Dedaye,MMR017026,0,0,0,61468.05272,61468.05272,61468.05272,52,36,54,11,13,0,,,,7991,Not,52,36,54,11,13,,0,0,100,0.001949024,1083.657561,5737.927805,1656.670732,0,0,0,1083.657561,0,0,0,5737.927805,0,0,0,1656.670732
Pyapon,Kyaiklat,MMR017025,0,0,0,58564.36983,58564.36983,58564.36983,52,36,54,11,13,0,,,,7613,Not,52,36,54,11,13,,0,0,100,0.001856829,1032.397073,5466.505366,1578.304878,0,0,0,1032.397073,0,0,0,5466.505366,0,0,0,1578.304878
Pyapon,Pyapon,MMR017023,0,0,0,95150.28955,95150.28955,95150.28955,52,36,54,11,13,0,,,,12370,Not,52,36,54,11,13,,0,0,100,0.003017073,1677.492683,8882.263415,2564.512195,0,0,0,1677.492683,0,0,0,8882.263415,0,0,0,2564.512195
Bago,Bago,MMR007001,0,0,0,117101.8334,117101.8334,117101.8334,52,36,54,11,13,0,,,,17565,Not,52,36,54,11,13,,0,0,100,0.004284146,2381.985366,12612.52683,3641.52439,0,0,0,2381.985366,0,0,0,12612.52683,0,0,0,3641.52439
Bago,Daik-U,MMR007007,0,0,0,48260.05997,48260.05997,48260.05997,52,36,54,11,13,0,,,,7239,Not,52,36,54,11,13,,0,0,100,0.00176561,981.6790244,5197.955122,1500.768293,0,0,0,981.6790244,0,0,0,5197.955122,0,0,0,1500.768293
Bago,Kawa,MMR007003,0,0,0,47028.8363,47028.8363,47028.8363,52,36,54,11,13,0,,,,7054,Not,52,36,54,11,13,,0,0,100,0.001720488,956.5912195,5065.116098,1462.414634,0,0,0,956.5912195,0,0,0,5065.116098,0,0,0,1462.414634
Bago,Kyauktaga,MMR007006,0,0,0,59860.29815,59860.29815,59860.29815,52,36,54,11,13,0,,,,8979,Not,52,36,54,11,13,,0,0,100,0.00219,1217.64,6447.36,1861.5,0,0,0,1217.64,0,0,0,6447.36,0,0,0,1861.5
Bago,Nyaunglebin,MMR007005,0,0,0,47534.00258,47534.00258,47534.00258,52,36,54,11,13,0,,,,4753,Not,52,36,54,11,13,,0,0,100,0.001159268,644.5531707,3412.885854,985.3780488,0,0,0,644.5531707,0,0,0,3412.885854,0,0,0,985.3780488
Bago,Shwegyin,MMR007008,0,0,0,25606.68822,25606.68822,25606.68822,52,36,54,11,13,0,,,,2561,Not,52,36,54,11,13,,0,0,100,0.000624634,347.2965854,1838.922927,530.9390244,0,0,0,347.2965854,0,0,0,1838.922927,0,0,0,530.9390244
Bago,Thanatpin,MMR007002,0,0,0,34619.85549,34619.85549,34619.85549,52,36,54,11,13,0,,,,3462,Not,52,36,54,11,13,,0,0,100,0.00084439,469.4809756,2485.884878,717.7317073,0,0,0,469.4809756,0,0,0,2485.884878,0,0,0,717.7317073
Bago,Waw,MMR007004,0,0,0,41941.66887,41941.66887,41941.66887,52,36,54,11,13,0,,,,4194,Not,52,36,54,11,13,,0,0,100,0.001022927,568.7473171,3011.496585,869.4878049,0,0,0,568.7473171,0,0,0,3011.496585,0,0,0,869.4878049
Taungoo,Htantabin,MMR007014,0,0,0,27945.22684,27945.22684,27945.22684,52,36,54,11,13,0,,,,2795,Not,52,36,54,11,13,,0,0,100,0.000681707,379.0292683,2006.946341,579.4512195,0,0,0,379.0292683,0,0,0,2006.946341,0,0,0,579.4512195
Taungoo,Kyaukkyi,MMR007011,2513,0,0,26414.15707,28927.15707,26414.15707,52,36,54,11,13,2513,,,,8000,Not,52,36,54,11,13,,0,0,100,0.00195122,1084.878049,5744.390244,1658.536585,0,0,0,1084.878049,0,0,0,5744.390244,0,0,0,1658.536585
